Category,Brand,Product Name,Approx. Price Range (INR),View on Amazon.in (image+price),Notes
Fish Food,Hikari,Tropical Micro Pellets,₹300-450,https://www.amazon.in/s?k=Hikari+Tropical+Micro+Pellets,"Floating pellets, small-mouthed fish"
Fish Food,Hikari,Cichlid Gold,₹450-870,https://www.amazon.in/s?k=Hikari+Cichlid+Gold,Color-enhancing floating pellets
Fish Food,Hikari,Tropical Food Sticks 250g,₹1200-1700,https://www.amazon.in/s?k=Hikari+Tropical+Food+Sticks+250g,"For Arowana, Oscar, large carnivores"
Fish Food,Hikari,Marine A / Marine S,₹800-1750,https://www.amazon.in/s?k=Hikari+Marine+A+%2F+Marine+S,Marine fish pellets
Fish Food,Hikari,Betta Bio-Gold,₹400-700,https://www.amazon.in/s?k=Hikari+Betta+Bio-Gold,Pellets for bettas
Fish Food,Hikari,Algae Wafers,₹350-650,https://www.amazon.in/s?k=Hikari+Algae+Wafers,"Bottom feeder wafers, plecos/catfish"
Fish Food,Hikari,Crab & Lobster Bites,₹400-700,https://www.amazon.in/s?k=Hikari+Crab+%26+Lobster+Bites,Sinking wafers for crustaceans
Fish Food,Hikari,Gold Pond Food (Growth/Color),₹500-900,https://www.amazon.in/s?k=Hikari+Gold+Pond+Food+%28Growth%2FColor%29,Koi/pond floating pellets
Fish Food,Hikari,Tropical Fancy Guppy,₹350-600,https://www.amazon.in/s?k=Hikari+Tropical+Fancy+Guppy,Guppy-specific pellets
Fish Food,Tetra,TetraMin Flakes,₹150-500,https://www.amazon.in/s?k=Tetra+TetraMin+Flakes,"Staple flake food, all tropical fish"
Fish Food,Tetra,Tetra Granules,₹200-550,https://www.amazon.in/s?k=Tetra+Tetra+Granules,Granulated staple food
Fish Food,Tetra,Tetra Cichlid Pellets,₹250-600,https://www.amazon.in/s?k=Tetra+Tetra+Cichlid+Pellets,Cichlid-specific pellets
Fish Food,Tetra,Tetra Goldfish Pellets/Flakes,₹150-450,https://www.amazon.in/s?k=Tetra+Tetra+Goldfish+Pellets%2FFlakes,Goldfish food
